url,label
https://www.google.com,0
https://www.amazon.in,0
https://www.wikipedia.org,0
https://www.microsoft.com,0
https://www.github.com,0
https://www.stackoverflow.com,0
https://www.linkedin.com,0
https://www.netflix.com,0
https://www.apple.com,0
https://www.paypal.com,0
http://secure-login-bank.com,1
http://verify-paypal-account.com,1
http://update-bank-details-now.com,1
http://free-gift-card-offer.com,1
http://login-facebook-security.com,1
http://confirm-your-account-now.net,1
http://urgent-verification-required.com,1
http://click-to-claim-reward.com,1
http://account-update-alert.com,1
http://password-reset-secure.net,1
